ANumber,Stream,GWstatus,Site,Year,Month,Day,Date,Format.date,Collemb,Coleopt.Adult,Coleopt.Larva,Opilion,Spider,Pseudoscorp,Formicid,Vespidae,Dipt.Adult,Dipt.Larva,Acari,Millip,Centip,Hemipt,Lepidop.larva,Trichopt.adult,Plecopt.adult,Shelled.snails, Slug,Isopod,Siphonopt,Oligoch,Anura,Caudata,Abund,Tot.Taxa
A1,Mike,Dis,Mike Dis 2,2017,June,14,14-Jun-17,14-Jun-17,23,1,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,34,10
A2,Mike,NonDis,Mike NonDis 3,2017,June,14,14-Jun-17,14-Jun-17,61,35,0,0,0,0,0,2,13,0,22,2,0,0,0,0,0,1,0,19,0,0,0,0,155,21
A3,G,Dis,G Dis 4,2017,June,16,16-Jun-17,16-Jun-17,142,5,0,1,1,0,0,0,22,0,11,1,0,0,0,0,0,2,0,0,0,0,0,1,186,16
A4,Mike,Dis,Mike Dis 1,2017,June,14,14-Jun-17,14-Jun-17,37,19,1,0,0,1,0,0,11,1,11,5,0,0,0,0,0,2,0,4,0,0,0,0,92,20
A5,G,NonDis,G NonDis 3,2017,June,14,14-Jun-17,14-Jun-17,93,59,0,0,1,0,0,0,32,1,16,1,0,0,0,0,0,3,0,0,0,0,0,0,206,16
A6,G,Dis,G Dis 3,2017,June,14,14-Jun-17,14-Jun-17,8,17,0,0,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9
A7,G,Dis,G Dis 2,2017,June,14,14-Jun-17,14-Jun-17,80,55,1,0,1,0,1,0,11,1,12,0,0,0,0,0,0,0,3,0,1,0,0,1,167,27
A8,Mike,NonDis,Mike NonDis 6,2017,June,14,14-Jun-17,14-Jun-17,93,23,0,0,1,0,0,0,26,0,8,1,0,0,1,0,0,1,0,0,0,0,0,0,154,22
A9,Mike,NonDis,Mike NonDis 2,2017,June,14,14-Jun-17,14-Jun-17,213,34,0,0,1,0,0,0,69,0,14,1,0,0,0,0,0,0,1,5,0,0,0,0,338,16
A10,G,NonDis,G NonDis 4,2017,June,14,14-Jun-17,14-Jun-17,16,38,0,0,0,0,0,0,219,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,284,22
A11,G,NonDis,G NonDis 2,2017,June,14,14-Jun-17,14-Jun-17,162,15,0,0,1,1,0,0,30,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,225,20
A12,G,Dis,G Dis 3,2017,June,14,14-Jun-17,14-Jun-17,41,25,1,0,1,0,0,0,10,2,6,0,0,0,0,0,0,0,1,1,1,0,1,0,90,19
