ANumber,Stream,GWstatus,Site,Year,Month,Day,Date,Formatted date,Purple.poduridae,White.Lge.poduridae,Sminthuridae,,Beetle1,Beetle2,Beetle3,Beetle4,Beetle5,Beetle6,Beetle7,Beetle8,Beetle9,Beetle10,Beetle11,Beetle12,Beetle13,Beetle14,Beetle15,Beetle16,Beetle17,Beetle18,Beetle19,Beetle20,Beetle21,Beetle22,Beetle23,Beetle24,Beetle25,Beetle26,Beetle27,Beetle28,Beetle29,Beetle30,Curculionid,Dryopidae,Dytiscid.larvae,Nondytiscid.larva,Dead.fungus.beetle,Unknown.beetle,,,,,,Opilionid1,,Spider1,Spider2,Dam.Diff.Spider ,,Pseudoscorpion,Ant1,,Wasp1,Wasp2,Wasp3,Wasp4,Wasp5,Wasp6 ,,Stripey.fly,Empididae ,Psychodid.adult,One.cell.fly,Tabanid,Fly1,Fly2,Fly3,Fly4,Fly5,Fly6,Fly7,Fly8,Fly9,Fly10,Fly11,Fly12,Fly13,Tipulidae,Tipulid.larva,Chiron.larva,Ceratopog.larva,Orange.fly,Psychod.larva,One.cell.fly,Dipt.larvae,Unknownflies,,,Oribatid1,Oribatid2,Oribatid3,Oribatid5,Oribatid4,Prostigmatid2,Red.bright,Others,,Millepide1,Millepide2,Millipede3,,Centipede1,Centipede2,,Hemiptera,,Caterpillar1,,Cricket,Trichopt.adult,Plecopt.adult,Flat.snail,Tower.snail,Black.slug,,,Isopod1,Isopod2,,Flea.1,Oligochaete,Frog,Salamander,Tot.taxa,Abund,Notes
1,MIKE,DIS,MIKE DIS 2,2017,June,14,14-Jun-17,14-Jun-17, ,7,16,23,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,0,,,0,1,,,,,,1,2,2,1,,,,,,,,,,,,,,,,2,,,,,,,,,7,,1,,,,,,,,1,,,,0,,,0,,0,,0,,,,1,,,1,0,,,0,,,,,12,35,"Wasp labelled 6, check. Check if isopod too"
2,MIKE,NONDIS,MIKE NON DIS 3,2017,June,14,14-Jun-17,14-Jun-17,1,1,59,61,,,,,25,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,0,,,,0,,,0,1,1,,,,,2,6,4,1,,,,,,,,,,,,,,,,2,,,,,,,,,13,,5,3,,,1,7,,6,22,1,1,,2,,,0,,0,,0,,,,1,,,1,0,19,,19,,,,,22,190,
3,G,DIS,G DIS 4,2017,June,16,16-Jun-17,16-Jun-17,13,27,102,142,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,1,1,,,1,,,0,,,,,,,0,4,15,,,,,,,,,,,,,,,,,,,,,,,,,3,22,,1,,5,,,4,,1,11,1,,,1,,,0,,0,,0,,,,2,,,2,0,,,0,,,,1,17,192,Check 1 large+2 non labeled flies. Also checkand  if Opilionid is so
4,MIKE,DIS,MIKE DIS 1,2017,June,14,14-Jun-17,14-Jun-17,4,7,26,37,,,4,2,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,20,,,,,,0,,,,0,1,,0,,,,,,,0,5,5,,,,,,,,,,,,,,,,,,,1,,,,,,1,12,,5,,,,,5,1,,11,5,,,5,,,0,,0,,0,,,,2,,,2,0,4,,4,,,,,21,112,Unknown beetle could be dytiscid adult. Check unknown fly
5,G,NONDIS,G NON DIS 3,2017,June,14,14-Jun-17,14-Jun-17,,19,74,93,,2, ,2,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,0,1,,,1,,,0,,,,,,,0,17,12,,,,,,,,,,,,,,,,,,,1,,1,,,,2,33,,5,,,,,11,,,16,1,,,1,,,0,,0,,0,,,,3,,,3,0,,,0,,,,,18,266,Check if Beetle 2 are Dryopidae. Who's orange and dif.fly.  Check +1broken spider 
6,G,DIS,G DIS 3,2017,June,14,14-Jun-17,14-Jun-17,2,2,4,8,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0,1,,,1,,,0,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,1,,,,,,1,5,,,1,,,,,,,1,,,,0,,,0,,0,,0,,,,,,,0,0,,,0,,,,,10,50,2 Beetle 5 are different color. Check that and unknown dif.fly
7,G,DIS,G DIS 2,2017,June,14,14-Jun-17,14-Jun-17,,14,66,80,3,,2,1,35,4,1,6,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,56,,,,,,0,,,1,1,,1,1,,,,,,,0,,3,,,,,,,,,,,,,,,,,3,,,,,,,1,5,12,,1,1,,,,7,1,2,12,,,,0,,,0,,0,,0,,,,,,3,0,3,,,0,1,,,1,28,224,Check which spider
8,MIKE,NONDIS,MIKE NON DIS 6,2017,June,14,14-Jun-17,14-Jun-17,15,7,71,93,,,,1,9,6,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,2,23,,,,,,0,,,1,1,,,0,,,,,,,0,9,13,,,,,,3,,,,,,,,,,,1,,,,,,,,,26,,1,,,,,7,,,8,,,1,1,,,0,,0,1,1,,,,1,,,1,0,,,0,,,,,23,178,Check 2 cm beetle+'new staph' and if  there's 1Tipulidae
9,MIKE,NONDIS,MIKE NON DIS 2,2017,June,14,14-Jun-17,14-Jun-17,18,0,195,213,,,,,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,34,,,,,,0,,,1,1,,,0,,,,,,,0,8,55,,,,,,,,,,,,,,,,,6,,,,,,,,,69,,3,2,,,,9,,,14,1,,,1,,,0,,0,,0,,,,,,1,0,1,,5,5,,,,,17,373,Check dead fungus beetle as in ANZ8. Confirm if Tipulidae. Check orange spider
10,G,NONDIS,G NON DIS 4,2017,June,14,14-Jun-17,14-Jun-17,1,15,0,16,,,,,28,7,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,38,,,,,,0,,,,0,,,0,,,,,,,0,22,192,1,,,1,1,,,,,,,,,,,,1,,,,,,,,1,219,,1,1,,,,5,1,1,9,,,,0,1,,1,1,1,,0,,,,,,,0,0,,,0,,,,,23,322,"Check if dead fungus beetle and unknown fly, same as AZ5"
11,G,NONDIS,G NON DIS 2,2017,June,14,14-Jun-17,14-Jun-17,4,44,114,162,1,,,1,9,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0,,,1,1,1,,0,,,,,,,0,2,26,1,,,,,,,,,,,,,,,,1,,,,,,,,,30,,2,2,,,,7,2,2,15,,,,0,,,0,,0,,0,,,,,,1,0,1,,,0,,,,,21,241,
12,G,DIS,G DIS 3,2017,June,14,14-Jun-17,14-Jun-17,5,15,21,41,,,1,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,1,,,,26,,,,,,0,,1,,1,,,0,,,,,,,0,7,2,,,,,,,,,,,,,,,,,1,,1,,,,,1,,12,,1,2,,,,3,,,6,,,,0,,,0,,0,,0,,,,,,1,0,1,1,,1,1,,1,,20,117,"Check if the 24 beetles are B#5, 7 or 10!"
13,G,DIS,G DIS 4,2017,June,14,14-Jun-17,14-Jun-17,0,5,15,20,,,2,1,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,0,,,,0,,,0,,,,,,,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,2,,,,0,,,0,,0,,0,,,,2,,,2,0,,,0,,,,,13,50,
14,GRIF,DIS,GRIF DIS 2,2017,June,14,14-Jun-17,14-Jun-17,1,3,14,18,,,,3,23,2,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,32,,,,,,0,1,,,1,1,,0,,,,,,,0,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,5,,,,,1,,,6,1,,,1,,,0,,0,,0,,,,,1,1,1,1,4,,4,,,,,21,101,Check 2 diff. fly and unknown beetle in bad shape. 
15,GRIF,NONDIS,GRIF NON DIS 1,2017,June,14,14-Jun-17,14-Jun-17,0,0,3,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,1,,,1,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,0,,,0,,0,,0,,,,,,,0,0,,,0,,,,,6,7,
16,G,NONDIS,G NON DIS 1,2017,June,14,14-Jun-17,14-Jun-17,0,5,26,31,2,,4,2,22,2,1,,,,1,,,,,3,9,1,,3,,,,,,,,,,,,,,,,,50,,,,,1,1,2,1,1,4,2,2,2,1,,,,,,1,13,15,1,,,,,,,,,,,,,,,,,,,,,,,,1,30,,3,,,,,26,,,29,,,,0,,,0,1,1,,0,,,,,,,0,0,,,0,,,1,,30,206,Check 2 Beetle 6 and 1 Unknown fly wider than Empididae and check  type of wasp
17,MIKE,DIS,MIKE DIS 3,2017,June,14,14-Jun-17,14-Jun-17,,5,26,31,,,,,3,2,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,10,,,,,,0,,,,0,,,0,,,,,,,0,2,,,,,,,,,,,,,,,,,,2,,1,,,,,,,5,,5,,,,,5,,,10,,,,0,,,0,,0,,0,,,,1,,,1,0,1,,1,,,,,17,68,Spider parts
18,GRIF,DIS,GRIF DIS 1,2017,June,14,14-Jun-17,14-Jun-17,,3,19,22,,,,1,8,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0,,1,,1,,,0,,,,,,,0,2,1,1,,,,,1,,,,,,,,,,,2,,,,,,,,2,9,,,,,,,1,,,1,,,,0,,,0,,0,,0,,1,,,1,,1,0,3,,3,,,,,18,69,"Check if spotted wings 'tipulid' is smthg else, and check 1 chubby Empididae"
