ANumber,Stream,GWstatus,Site,Year,Month,Day,Date,Formatted date,Tot.Collemb,Tot.Coleopt.Adult,Tot.Coleopt.Larva,Tot.Opilion,Tot. Spider,Pseudoscorpion,Tot.Ant,Tot. Vespidae,Tot.Dipt.Adult,Tot.Dipt.Larva,Tot.Acarinae,Tot.Millip,Tot.Centip,Tot.Hemipt,Tot.Lepidopt.larva,Cercopidae,Trichopt.adult,Plecopt.adult,Tot.Snails,Tot. Slug,Tot.Isopod,Flea.1,Oligochaete,Frog,Salamander,Abund,Tot.taxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1,U9,L1,U2,U3,U4,U6,U7,big worm,FL 1,NewAbund,NewTotTaxa
1,Mike,Dis,Mike Dis 2,2017,June,14,14-Jun-17,14-Jun-17,23,1,0,0,0,,0,1,7,0,1,0,0,0,0,,,,1,0,0,,,,,34,10,,,,Stream,GW_status,Site,Year,Month,Day,Date,Formatted date,TOTAL COLLEMBOLA,TOTAL ISOPODA,TOT.COLEOPT.Adult,TOTAL OPILIONES,TOTAL SPIDER,TOTAL FORMICIDAE,TOTAL BRACONIDAE,Tot.DiptAdult,TOTAL MITE,TOTAL MILLEPIDES,TOTAL CENTIPIDAE,TOTAL CERCOPIDAE,TOTAL BEETLE LARVA,TOTAL TETTIGONIIDAE,Tot.snail,Tot.slugs,TOTAL SIPHONOPTERA,TOTAL PSEUDOSCORPION,,,lost,,,,fly larva,,,
2,Mike,NonDis,Mike NonDis 3,2017,June,14,14-Jun-17,14-Jun-17,61,35,0,0,0,,0,2,13,0,22,2,0,0,0,,,,1,0,19,,,,,155,21,,,Z58,G,Dis,G Dis 1,2017,May,17,17-May-17,17-May-17,173,,2,,,,,1,6,1,,,,,,,,,,,,,,,,,183,10
3,G,Dis,G Dis 4,2017,June,16,16-Jun-17,16-Jun-17,142,5,0,1,1,,0,0,22,0,11,1,0,0,0,,,,2,0,0,,,,1,186,16,,,Z59,G,Dis,G Dis 2,2017,May,17,17-May-17,17-May-17,58,,2,,,,,1,4,,,,,,,,,,,,,,,,,1,66,12
4,Mike,Dis,Mike Dis 1,2017,June,14,14-Jun-17,14-Jun-17,37,19,1,0,0,1,0,0,11,1,11,5,0,0,0,,,,2,0,4,,,,,92,20,,,Z60,G,Dis,G Dis 3,2017,May,17,17-May-17,17-May-17,7,5,1,,3,,,3,6,,,,,,,,,,,,,,,,,,88,17
5,G,NonDis,G NonDis 3,2017,June,14,14-Jun-17,14-Jun-17,93,59,0,0,1,,0,0,32,1,16,1,0,0,0,,,,3,0,0,,,,,206,16,,,Z61,G,Dis,G Dis 4,2017,May,17,17-May-17,17-May-17,21,,1,,,,,1,19,,,,,,1,,,,,,,,,,,,43,10
6,G,Dis,G Dis 3,2017,June,14,14-Jun-17,14-Jun-17,8,17,0,0,1,,0,0,4,1,1,0,0,0,0,,,,0,0,0,,,,,32,9,,,Z62,G,NonDis,G NonDis 1,2017,May,17,17-May-17,17-May-17,59,,8,1,2,,3,4,21,1,,,,,,,,,,,,,,,,,99,17
7,G,Dis,G Dis 2,2017,June,14,14-Jun-17,14-Jun-17,80,55,1,0,1,,1,0,11,1,12,0,0,0,0,,,,0,3,0,1,,,1,167,27,,,Z63,G,NonDis,G NonDis 2,2017,May,17,17-May-17,17-May-17,183,1,4,1,2,,,7,7,,,1,,,1,,,,,,,,,,,,207,20
8,Mike,NonDis,Mike NonDis 6,2017,June,14,14-Jun-17,14-Jun-17,93,23,0,0,1,,0,0,26,0,8,1,0,0,1,,,,1,0,0,,,,,154,22,,,Z64,G,NonDis,G NonDis 3,2017,May,17,17-May-17,17-May-17,86,,3,1,5,1,,1,17,,,,1,,,,,1,,,,,,,,,116,19
9,Mike,NonDis,Mike NonDis 2,2017,June,14,14-Jun-17,14-Jun-17,213,34,0,0,1,,0,0,69,0,14,1,0,0,0,,,,0,1,5,,,,,338,16,,,Z65,G,NonDis,G NonDis 4,2017,May,17,17-May-17,17-May-17,,1,0,,,,,0,,,,,,,,,,,,,,,,,,,147,18
10,G,NonDis,G NonDis 4,2017,June,14,14-Jun-17,14-Jun-17,16,38,0,0,0,,0,0,219,0,9,0,1,1,0,,,,0,0,0,,,,,284,22,,,Z66,Griff,Dis,Griff Dis 1,2017,May,17,17-May-17,17-May-17,2,4,9,,5,,,13,1,,,,,,,,,,,,,,,,,,52,12
