"ANumber","Stream","GWstatus","Month","Collemb","Coleopt.Adult","Coleopt.Larva","Opilion","Spider","Pseudoscorp","Formicid","Dipt.Larva","Acari","Millip","Centip","Hemipt","Lepidop.larva","Shelled.snails","Slug","Isopod","Siphonopt","Oligoch","Anura"
"A1","Mike","Dis","June",23,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"A2","Mike","NonDis","June",61,35,0,0,0,0,0,0,22,2,0,0,0,1,0,19,0,0,0
"A3","G","Dis","June",142,5,0,1,1,0,0,0,11,1,0,0,0,2,0,0,0,0,0
"A4","Mike","Dis","June",37,19,1,0,0,1,0,1,11,5,0,0,0,2,0,4,0,0,0
"A5","G","NonDis","June",93,59,0,0,1,0,0,1,16,1,0,0,0,3,0,0,0,0,0
"A6","G","Dis","June",8,17,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"A7","G","Dis","June",80,55,1,0,1,0,1,1,12,0,0,0,0,0,3,0,1,0,0
"A8","Mike","NonDis","June",93,23,0,0,1,0,0,0,8,1,0,0,1,1,0,0,0,0,0
"A9","Mike","NonDis","June",213,34,0,0,1,0,0,0,14,1,0,0,0,0,1,5,0,0,0
"A10","G","NonDis","June",16,38,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0
"A11","G","NonDis","June",162,15,0,0,1,1,0,0,15,0,0,0,0,0,1,0,0,0,0
"A12","G","Dis","June",41,25,1,0,1,0,0,2,6,0,0,0,0,0,1,1,1,0,1
"A13","G","Dis","June",20,12,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
"A14","Griff","Dis","June",18,32,0,0,1,1,0,1,6,1,0,0,0,1,1,4,0,0,0
"A15","Griff","NonDis","June",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A16","G","NonDis","June",31,50,0,1,4,2,2,0,29,0,0,1,0,0,0,0,0,0,1
"A17","Mike","Dis","June",31,9,1,0,0,0,0,1,10,0,0,0,0,1,0,1,0,0,0
"A18","Griff","Dis","June",22,15,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0
"A19","Griff","NonDis","June",66,40,0,0,2,0,2,2,29,2,0,0,0,2,0,1,1,0,0
"A20","Mike","NonDis","June",4,5,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"A21","G","Dis","June",40,39,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0
"A22","Griff","NonDis","June",42,54,2,0,0,0,1,0,37,3,0,0,0,0,0,1,0,0,0
"A23","Mike","NonDis","June",99,36,1,0,1,1,0,0,13,2,0,0,0,2,0,3,0,0,0
"A24","Griff","Dis","June",47,11,1,0,2,0,0,1,10,0,0,0,0,3,0,22,0,1,0
"A25","Griff","NonDis","June",25,5,0,0,0,1,0,1,10,0,0,0,0,0,0,1,0,0,0
"A26","Griff","Dis","June",73,8,1,0,5,0,0,0,4,0,0,0,0,0,0,3,0,0,0
"A27","Mike","Dis","June",184,20,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0
"A28","Griff","Dis","June",76,69,0,0,0,1,4,2,33,1,0,0,0,0,0,8,0,1,0
"A29","Griff","NonDis","June",97,26,0,1,2,0,0,1,19,0,0,0,0,1,0,5,0,0,0
"A30","Griff","NonDis","June",1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0
"A31","Griff","Dis","June",8,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"A32","Griff","Dis","June",1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"A33","Mike","Dis","June",37,0,0,0,2,0,1,1,10,0,0,0,0,0,0,0,0,0,0
"A34","G","NonDis","July",11,586,1,0,0,0,0,0,118,0,1,0,0,1,0,1,0,0,0
"A35","Griff","NonDis","July",13,110,13,0,0,0,1,7,11,1,0,0,1,0,0,0,0,0,0
"A36","Mike","NonDis","July",23,159,6,0,2,0,1,7,7,2,0,0,0,0,1,0,0,0,0
"A37","Mike","Dis","July",0,84,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"A38","Griff","NonDis","July",19,107,1,0,4,0,1,0,15,18,0,0,0,2,0,13,0,0,1
"A39","G","Dis","July",4,93,1,0,2,0,0,0,19,1,0,0,0,2,0,0,0,0,0
"A40","Mike","Dis","July",11,96,0,1,2,0,0,1,311,0,1,0,0,0,2,2,0,0,0
"A41","Mike","NonDis","July",43,246,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"A42","Griff","Dis","July",12,257,1,0,6,0,0,0,1,0,0,0,0,0,0,8,0,0,0
"A43","G","NonDis","July",3,161,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0
"A44","Mike","NonDis","July",16,204,0,0,4,0,0,3,5,3,0,0,0,1,0,0,1,0,0
"A45","G","Dis","July",8,137,1,0,3,1,0,4,15,2,0,0,0,2,1,4,0,0,0
"A46","G","NonDis","July",1,161,2,0,7,0,1,0,10,1,1,3,0,0,0,3,0,0,0
"A47","Griff","NonDis","July",9,182,0,0,6,0,1,0,47,1,0,0,0,0,0,0,0,0,0
"A48","Griff","Dis","July",18,240,0,0,4,0,0,1,9,1,1,0,0,1,0,3,0,0,0
"A49","Mike","NonDis","July",8,45,1,0,3,0,0,0,8,1,1,0,0,2,0,2,0,0,0
"A50","Griff","NonDis","July",19,39,0,0,10,0,12,0,13,0,0,0,0,0,0,19,0,0,0
"A51","Griff","Dis","July",16,165,0,0,2,1,0,8,12,0,0,0,0,1,0,15,0,0,0
"A52","Mike","Dis","July",12,153,0,0,4,1,2,0,5,4,2,0,0,0,0,1,0,0,0
"A53","G","NonDis","July",2,142,0,0,0,0,1,0,30,0,0,1,0,0,0,0,0,0,0
"A54","G","Dis","July",17,261,1,0,1,0,0,0,54,1,0,1,0,1,4,0,0,0,0
"A55","Mike","Dis","July",1,75,0,0,10,0,0,0,4,0,0,1,0,0,0,0,0,0,0
"A56","G","Dis","July",8,52,0,0,6,0,0,0,8,0,1,0,0,0,0,1,0,0,0
"A57","Griff","Dis","July",12,63,0,0,2,0,0,0,5,1,1,0,0,0,0,4,0,0,0
"Z58","G","Dis","May",173,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
"Z59","G","Dis","May",58,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"Z60","G","Dis","May",7,1,0,0,3,0,0,0,6,0,0,0,0,0,0,5,0,0,0
"Z61","G","Dis","May",21,1,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0
"Z62","G","NonDis","May",59,8,0,1,2,0,0,0,21,1,0,0,0,0,0,0,0,0,0
"Z63","G","NonDis","May",183,4,0,1,2,0,0,0,7,0,0,1,0,1,0,1,0,0,0
"Z64","G","NonDis","May",86,3,1,1,5,1,1,0,17,0,0,0,0,0,0,0,0,0,0
"Z65","G","NonDis","May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Z66","Griff","Dis","May",2,9,0,0,5,0,0,0,1,0,0,0,0,0,0,4,0,0,0
"Z67","Griff","Dis","May",29,15,0,0,2,0,0,0,4,0,0,0,0,0,0,17,0,0,0
"Z68","Griff","Dis","May",96,9,0,2,13,0,1,0,1,2,1,0,0,0,0,22,0,0,0
"Z69","Griff","Dis","May",54,3,1,1,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0
"Z70","Griff","NonDis","May",7,1,0,3,0,0,0,0,17,0,0,0,0,0,0,13,0,0,0
"Z71","Griff","NonDis","May",33,3,0,1,3,0,0,0,3,0,0,0,0,0,0,5,0,0,0
"Z72","Griff","NonDis","May",54,11,0,1,1,0,0,1,13,1,0,0,0,0,0,12,0,0,0
"Z73","Griff","NonDis","May",98,10,0,2,3,0,1,0,14,0,0,1,0,0,0,4,0,0,0
"Z74","Mike","Dis","May",13,2,0,0,1,0,0,0,9,1,0,0,0,1,0,0,0,0,0
"Z76","Mike","Dis","May",92,4,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"Z78","Mike","NonDis","May",117,1,2,2,3,0,0,0,12,0,0,0,0,0,0,1,2,0,0
"Z79","Mike","NonDis","May",75,2,0,0,3,0,0,0,6,1,0,1,0,0,0,2,0,0,0
"Z80","Mike","NonDis","May",75,3,0,3,2,0,0,0,6,0,0,0,0,0,0,2,0,0,0
"Z81","Mike","NonDis","May",67,1,0,1,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0
